City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Longyearbyen,SJ,2021-08-11 03:20:50,78.2186,15.6401,42.64,93,0,2.3
137,Hamilton,US,2021-08-11 03:24:13,39.1834,-84.5333,80.89,91,1,1.01
138,Tuatapere,NZ,2021-08-11 03:28:05,-46.1333,167.6833,59.83,87,96,6.76
139,Kenora,CA,2021-08-11 03:28:05,49.8167,-94.4337,70.77,56,75,8.05
140,Lompoc,US,2021-08-11 03:20:29,34.6391,-120.4579,73.78,83,1,6.91
141,Jiaocheng,CN,2021-08-11 03:28:06,24.6774,116.1389,88.97,66,91,4.52
142,Tigre,AR,2021-08-11 03:28:06,-34.426,-58.5796,45.23,88,20,0.0
143,San Jose,US,2021-08-11 03:25:54,37.3394,-121.895,81.07,58,1,5.01
144,Morris,US,2021-08-11 03:28:06,40.8334,-74.5329,72.0,90,75,0.0
145,Ryotsu,JP,2021-08-11 03:28:07,38.0833,138.4333,78.76,66,78,3.13
146,Ucluelet,CA,2021-08-11 03:22:04,48.9329,-125.5528,80.1,83,93,3.89
147,Katsuura,JP,2021-08-11 03:28:07,35.1333,140.3,87.91,74,89,9.48
148,Eyl,SO,2021-08-11 03:28:08,7.9803,49.8164,75.29,77,71,17.56
149,Torbay,CA,2021-08-11 03:26:08,47.6666,-52.7314,58.57,90,75,14.97
150,Namibe,AO,2021-08-11 03:26:27,-15.1961,12.1522,67.78,85,60,7.49
151,Zhuhai,CN,2021-08-11 03:28:08,22.2769,113.5678,87.71,84,20,6.91
152,Amapa,BR,2021-08-11 03:28:09,1.0,-52.0,71.06,99,55,1.68
153,Omboue,GA,2021-08-11 03:28:09,-1.5746,9.2618,73.9,87,10,7.36
154,Casa Nova,BR,2021-08-11 03:28:09,-9.4167,-41.1333,73.38,59,2,18.75
155,Goure,NE,2021-08-11 03:28:10,13.9835,10.2704,75.02,76,100,13.49
156,Ahipara,NZ,2021-08-11 03:24:41,-35.1667,173.1667,57.83,72,20,9.69
157,Chara,RU,2021-08-11 03:28:10,56.9064,118.2631,68.86,61,87,3.4
158,Chuy,UY,2021-08-11 03:24:30,-33.6971,-53.4616,41.47,80,6,7.58
159,Hobart,AU,2021-08-11 03:24:31,-42.8794,147.3294,59.05,57,75,8.01
