City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Dong Hoi,VN,2021-08-12 02:32:15,17.4833,106.6,92.19,56,98,8.68
91,Cockburn Town,TC,2021-08-12 02:26:08,21.4612,-71.1419,82.0,70,7,25.55
92,Oriximina,BR,2021-08-12 02:32:15,-1.7656,-55.8661,76.82,76,38,3.87
93,Karratha,AU,2021-08-12 02:32:15,-20.7377,116.8463,73.89,18,0,21.12
94,Hirara,JP,2021-08-12 02:30:31,24.8,125.2833,80.87,94,75,13.8
95,Druzhinino,RU,2021-08-12 02:32:16,56.7895,59.5143,53.19,72,4,3.02
96,Manakara,MG,2021-08-12 02:32:16,-22.1333,48.0167,62.4,91,3,4.52
97,Lodja,CD,2021-08-12 02:32:16,-3.4833,23.4333,69.26,81,88,1.92
98,Coahuayana,MX,2021-08-12 02:32:17,18.7333,-103.6833,78.28,89,84,2.75
99,Tuktoyaktuk,CA,2021-08-12 02:27:33,69.4541,-133.0374,62.6,63,75,11.5
100,Paamiut,GL,2021-08-12 02:32:17,61.994,-49.6678,43.72,86,95,10.6
101,Dornoch,GB,2021-08-12 02:32:17,57.8805,-4.0288,50.45,94,83,4.25
102,La Crosse,US,2021-08-12 02:32:18,43.8014,-91.2396,75.13,60,1,9.22
103,Pevek,RU,2021-08-12 02:29:40,69.7008,170.3133,40.32,71,65,5.03
104,Hithadhoo,MV,2021-08-12 02:32:18,-0.6,73.0833,82.36,73,100,14.36
105,Caravelas,BR,2021-08-12 02:28:24,-17.7125,-39.2481,68.68,93,6,4.07
106,Abu Samrah,SY,2021-08-12 02:32:19,35.3029,37.1841,77.0,52,0,3.36
107,Mahebourg,MU,2021-08-12 02:30:50,-20.4081,57.7,71.89,83,75,9.22
108,Pamekasan,ID,2021-08-12 02:32:19,-7.1568,113.4746,87.03,52,8,5.5
109,Cherskiy,RU,2021-08-12 02:32:20,68.75,161.3,68.34,33,77,5.95
110,Tiksi,RU,2021-08-12 02:32:20,71.6872,128.8694,59.9,66,100,8.84
111,Bluff,NZ,2021-08-12 02:30:15,-46.6,168.3333,58.8,73,99,16.49
112,Santa Rita,BR,2021-08-12 02:32:20,-7.1139,-34.9781,74.07,100,90,5.75
113,Kazachka,RU,2021-08-12 02:32:21,53.3644,38.0694,66.16,85,100,5.46
114,Elizabeth City,US,2021-08-12 02:30:22,36.2946,-76.2511,86.02,90,1,1.01
115,Arlit,NE,2021-08-12 02:32:21,18.7369,7.3853,90.25,40,64,17.05
116,Ayan,RU,2021-08-12 02:32:21,56.45,138.1667,66.56,72,1,6.73
117,Qui Nhon,VN,2021-08-12 02:32:22,13.7667,109.2333,90.09,56,100,5.73
118,Havoysund,NO,2021-08-12 02:32:22,70.9963,24.6622,52.11,97,100,12.62
119,Tiznit,MA,2021-08-12 02:32:22,29.5833,-9.5,65.93,69,3,0.58
120,Port Shepstone,ZA,2021-08-12 02:28:21,-30.7414,30.455,66.25,67,0,22.5
121,Tigzirt,DZ,2021-08-12 02:32:23,36.8886,4.1198,88.14,29,0,9.17
122,Ust-Nera,RU,2021-08-12 02:32:23,64.5667,143.2,75.83,37,100,6.6
123,Lerwick,GB,2021-08-12 02:32:23,60.1545,-1.1494,57.2,96,100,13.67
124,Geraldton,AU,2021-08-12 02:29:54,-28.7667,114.6,59.41,72,0,14.97
125,San Policarpo,PH,2021-08-12 02:32:24,12.1791,125.5072,85.17,69,79,6.58
126,Shenjiamen,CN,2021-08-12 02:32:24,29.9576,122.298,79.7,93,100,15.17
127,College,US,2021-08-12 02:25:13,64.8569,-147.8028,67.98,57,75,3.44
128,Gaya,IN,2021-08-12 02:29:30,24.7833,85.0,78.71,100,90,13.8
129,Yar-Sale,RU,2021-08-12 02:32:25,66.8333,70.8333,60.71,57,99,7.56
130,Laguna,US,2021-08-12 02:32:25,38.421,-121.4238,98.46,28,1,5.99
