City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
76,Fos-Sur-Mer,FR,69.91,43.4377,4.9446,Ariane Hotel
77,Zhukovo,RU,66.97,55.0318,36.744,Gostinitsa
78,Chinna Salem,IN,85.62,11.65,78.9,SVA Lodge
79,Mahebourg,MU,68.29,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Matara,LK,80.98,5.9485,80.5353,Amaloh Boutique Resort
81,Sao Jose Da Coroa Grande,BR,74.12,-8.8978,-35.1478,Crôa Mares Hotel
82,Byron Bay,AU,70.05,-28.65,153.6167,Backpackers Inn on the Beach
83,Sao Filipe,CV,76.98,14.8961,-24.4956,Hotel Xaguate
84,Kiama,AU,79.25,-34.6833,150.8667,The Sebel Kiama Harbourside
85,Campbell River,CA,80.98,50.0163,-125.2446,Ramada by Wyndham Campbell River
86,Tessalit,ML,86.54,20.1986,1.0114,
87,Selma,US,97.09,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
88,Saint-Philippe,RE,65.79,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
89,Uige,AO,67.37,-7.6087,15.0613,Hotel Catraio
91,Sete,FR,66.88,43.4018,3.6966,Hotel De Paris Sète
92,Escanaba,US,72.21,45.7453,-87.0646,Sunset Lodge
94,Imeni Poliny Osipenko,RU,70.7,52.4201,136.4853,Yubileynaya
95,Gimli,CA,62.62,50.6336,-96.9907,Lakeview Gimli Resort
96,Saint-Francois,FR,65.17,46.4154,3.9054,Manoir Du Bonheur
98,Abu Samrah,SY,75.11,35.3029,37.1841,
99,Bundibugyo,UG,66.99,0.7414,30.0417,R.A. Kaliisa Accomodations
100,Souillac,MU,68.38,-20.5167,57.5167,Shanti Maurice Resort & Spa
102,Robertsport,LR,78.66,6.7533,-11.3686,Kwepunha Retreat
103,Amazar,RU,63.95,53.858,120.875,Гостиничный Комплекс Уют
104,Havelock,US,82.94,34.8791,-76.9013,Sherwood Motel
105,Dingle,PH,86.58,10.9995,122.6711,SEGAYA PROPERTY
109,Santa Cruz De La Palma,ES,71.74,28.6835,-17.7642,H10 Taburiente Playa
110,Dongying,CN,87.46,37.4564,118.4856,Wanda Realm
111,Kilindoni,TZ,75.74,-7.9139,39.6668,Bustani B&B
112,Marawi,PH,85.17,7.9986,124.2928,Derogongan Residence
113,High Level,CA,62.71,58.5169,-117.136,Days Inn by Wyndham High Level
114,Coro,VE,78.46,11.4045,-69.6734,Federal
115,Hare Bay,CA,67.35,48.8499,-54.0148,
116,Ossora,RU,67.6,59.2353,163.0719,
117,Maizuru,JP,82.44,35.45,135.3333,Maizuru Grand Hotel
121,Cam Ranh,VN,91.36,11.9214,109.1591,OYO 598 Peony Hotel
122,Hilo,US,80.33,19.7297,-155.09,Hilo Hawaiian Hotel
123,Bengkulu,ID,83.07,-3.8004,102.2655,Grage Hotel Bengkulu
124,Malpe,IN,78.1,13.35,74.7167,Hotel Sri Krishna Residency
125,Vao,NC,67.08,-22.6667,167.4833,Hotel Kou-Bugny
126,Avera,US,80.11,33.194,-82.5271,
127,Chabahar,IR,81.63,25.2919,60.643,هتل گدروشیا
128,Carnarvon,AU,64.47,-24.8667,113.6333,Hospitality Carnarvon
130,Port Hardy,CA,64.58,50.6996,-127.4199,Airport Inn
132,Kindu,CD,70.16,-2.95,25.95,Résidence Okanda
133,Chiungutwa,TZ,61.2,-10.8833,38.9833,
135,Belaya Gora,RU,78.69,68.5333,146.4167,
137,Hamilton,US,80.89,39.1834,-84.5333,Six Acres Bed & Breakfast
139,Kenora,CA,70.77,49.8167,-94.4337,Maynard Lake Lodge
140,Lompoc,US,73.78,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
141,Jiaocheng,CN,88.97,24.6774,116.1389,Changtan Tourism Resort
143,San Jose,US,81.07,37.3394,-121.895,The Westin San Jose
144,Morris,US,72.0,40.8334,-74.5329,Parsippany Inn and Suites Morris Plains
145,Ryotsu,JP,78.76,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
146,Ucluelet,CA,80.1,48.9329,-125.5528,Black Rock Oceanfront Resort
147,Katsuura,JP,87.91,35.1333,140.3,Katsuura Hotel Mikazuki
148,Eyl,SO,75.29,7.9803,49.8164,Amiin Hotel
150,Namibe,AO,67.78,-15.1961,12.1522,Hotel Chik Chik Namibe
151,Zhuhai,CN,87.71,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
152,Amapa,BR,71.06,1.0,-52.0,
153,Omboue,GA,73.9,-1.5746,9.2618,Hotel Olako
154,Casa Nova,BR,73.38,-9.4167,-41.1333,Pousada e Restaurante Dona Xinha
155,Goure,NE,75.02,13.9835,10.2704,
157,Chara,RU,68.86,56.9064,118.2631,
161,Ambon,ID,89.74,-3.6954,128.1814,Swiss-Belhotel Ambon
162,Saint Anthony,US,76.71,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
163,Khasan,RU,67.68,42.4308,130.6434,
164,Palmer,US,75.72,42.1584,-72.3287,Wedgewood Motel
166,Ulaangom,MN,73.94,49.9811,92.0667,Achit Nuur Hotel & Restaurant
168,Touros,BR,74.3,-5.1989,-35.4608,INN NEW HORIZON
169,Faya,SA,64.51,18.3851,42.4509,املاك خالد الشعشوع
170,Geraldton,AU,61.21,-28.7667,114.6,Broadwater Mariner Resort
171,Sugar Hill,US,80.31,34.1065,-84.0335,"Holiday Inn Express & Suites Buford-Mall of GA, an IHG Hotel"
172,Marsh Harbour,BS,83.44,26.5412,-77.0636,Abaco Beach Resort
175,Hualmay,PE,61.97,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
176,Ha Tinh,VN,94.15,18.3333,105.9,Phú Quý
177,Huaihua,CN,83.5,27.5494,109.9592,怀化天庆大酒店
180,San Quintin,MX,69.12,30.4833,-115.95,Don Eddie's Sport Fishing Center
182,Mortara,IT,73.18,45.2473,8.7355,B&B Il Pioppo e La Fonte
183,Wanning,CN,88.11,18.8003,110.3967,Paradise Hotel
184,Qinhuangdao,CN,79.47,39.9317,119.5883,Qinhuangdao Peninsula Seasons Hotel And Apartment
185,Labuhan,ID,84.72,-6.8844,112.2051,PT PPI Lamongan Tambak C
188,Gat,IL,78.4,31.61,34.7642,OlusHome
189,Poum,NC,72.05,-20.2333,164.0167,Gîte kajeon
190,Faanui,PF,79.16,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
192,Port Macquarie,AU,75.16,-31.4333,152.9167,Rydges Port Macquarie
194,Cockburn Town,TC,82.74,21.4612,-71.1419,Osprey Beach Hotel
195,Saint George,US,96.64,37.1041,-113.5841,Best Western Plus Abbey Inn
196,Kloulklubed,PW,84.7,7.0419,134.2556,Storyboard Beach Resort
197,Ballina,AU,69.98,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
198,Bambous Virieux,MU,68.25,-20.3428,57.7575,Casa Tia Villa
